ID	Organism	BioProject	SRR	Description
ASM_01	Salmonella Enteritidis	PRJNA295366	SRR2352185	"environmental swab, state #1, site #1"
ASM_02	Salmonella Enteritidis	PRJNA295366	SRR2352186	"environmental swab, state #1, site #1"
ASM_03	Salmonella Enteritidis	PRJNA295366	SRR2352187	"environmental swab, state #1, site #1"
ASM_04	Salmonella Enteritidis	PRJNA295366	SRR2352188	"environmental swab, state #1, site #1"
ASM_05	Salmonella Enteritidis	PRJNA295366	SRR2352189	"environmental swab, state #1, site #1"
ASM_06	Salmonella Enteritidis	PRJNA295366	SRR2352190	"chicken feed, state #2, site #1"
ASM_07	Salmonella Enteritidis	PRJNA295366	SRR2352191	"environmental swab, state #2, site #2"
ASM_08	Salmonella Enteritidis	PRJNA295366	SRR2352192	"environmental swab, state #2, site #3"
ASM_09	Salmonella Enteritidis	PRJNA295366	SRR2352193	"environmental swab, state #2, site #1"
ASM_10	Salmonella Enteritidis	PRJNA295366	SRR2352194	"environmental swab, state #2, site #1"
ASM_11	Salmonella Enteritidis	PRJNA295366	SRR2352195	"environmental swab, state #2, site #1"
ASM_12	Salmonella Enteritidis	PRJNA295366	SRR2352196	"environmental swab, state #2, site #1"
ASM_13	Salmonella Enteritidis	PRJNA295366	SRR2352197	"environmental swab, state #2, site #2"
ASM_14	Salmonella Enteritidis	PRJNA295366	SRR2352198	"environmental swab, state #2 , site #3"
ASM_15	Salmonella Enteritidis	PRJNA295366	SRR2352199	"eggs, state #2, site #3"
ASM_16	Salmonella Enteritidis	PRJNA295366	SRR2352200	"environmental swab, state #2 , site #4"
ASM_17	Salmonella Enteritidis	PRJNA295366	SRR2352201	"environmental swab, state #2, site #2"
ASM_18	Salmonella Enteritidis	PRJNA295366	SRR2352202	"chicken feed, state #2, site #1"
ASM_19	Salmonella Enteritidis	PRJNA295366	SRR2352203	"environmental swab, state #1, site #1"
ASM_20	Salmonella Enteritidis	PRJNA295366	SRR2352204	"environmental swab, state #1, site #1"
ASM_21	Salmonella Enteritidis	PRJNA295366	SRR2352205	"environmental swab, state #1, site #1"
ASM_22	Salmonella Enteritidis	PRJNA295366	SRR2352206	"environmental swab, state #1, site #1"
ASM_23	Salmonella Enteritidis	PRJNA295366	SRR2352207	"environmental swab, state #1, site #1"
ASM_24	Salmonella Enteritidis	PRJNA295366	SRR2352208	"environmental swab, state #1, site #1"
ASM_25	Salmonella Enteritidis	PRJNA295366	SRR2352209	"food, traceback to eggs from state #2"
ASM_26	Salmonella Enteritidis	PRJNA295366	SRR2352210	"clinical, consumed food with ASM_40 isolate"
ASM_27	Salmonella Enteritidis	PRJNA295366	SRR2352211	clinical
ASM_28	Salmonella Enteritidis	PRJNA295366	SRR2352212	clinical
ASM_29	Salmonella Enteritidis	PRJNA295366	SRR2352213	clinical
ASM_30	Salmonella Enteritidis	PRJNA295366	SRR2352214	clinical
ASM_31	Salmonella Enteritidis	PRJNA295366	SRR2352215	"clinical, traceback to eggs from state #2"
ASM_32	Salmonella Enteritidis	PRJNA295366	SRR2352216	clinical
ASM_33	Salmonella Enteritidis	PRJNA295366	SRR2352217	clinical
ASM_34	Salmonella Enteritidis	PRJNA295366	SRR2352218	pastuerized eggs
ASM_35	Salmonella Enteritidis	PRJNA295366	SRR2352219	clinical
